
amazon,334863,925872
notredame,325730,1090108
digg,279631,1548126
citeseer,384414,1736145
livemocha,104103,2193083
flickr,105939,2316948
hyves,1402674,2777419
youtube,1134890,2987624
google,875714,4322051
trec,1601788,6679248
flixster,2523387,7918801
dblp,1653767,8159739
skitter,1696416,11095299
indian,1382868,13591473
pokec,1632804,22301964
usaroad,23947347,28854312
livejournal,3997962,34681189
orkut,3072441,117185083
wikipedia,13593033,334591525
friendster,68349466,1811849342
uk2007,105153952,3301876564
