name,julia_id
Addam-Marbrand,1
Aegon-Frey-(son-of-Stevron),2
Aegon-I-Targaryen,3
Aegon-Targaryen-(son-of-Rhaegar),4
Aegon-V-Targaryen,5
Aemon-Targaryen-(Dragonknight),6
Aemon-Targaryen-(Maester-Aemon),7
Aenys-Frey,8
Aeron-Greyjoy,9
Aerys-II-Targaryen,10
Aerys-I-Targaryen,11
Aggar,12
Aggo,13
Alayaya,14
Albett,15
Alebelly,16
Alerie-Hightower,17
Alester-Florent,18
Allar-Deem,19
Allard-Seaworth,20
Alla-Tyrell,21
Alleras,22
Alliser-Thorne,23
Alyn,24
Alysane-Mormont,25
Alys-Arryn,26
Alys-Karstark,27
Amabel,28
Amerei-Frey,29
Amory-Lorch,30
Anders-Yronwood,31
Andrew-Estermont,32
Andrey-Dalt,33
Anguy,34
Anya-Waynwood,35
Archibald-Yronwood,36
Ardrian-Celtigar,37
Areo-Hotah,38
Arianne-Martell,39
Armen,40
Arnolf-Karstark,41
Aron-Santagar,42
Arron,43
Arson,44
Arstan,45
Arthor-Karstark,46
Arthur-Dayne,47
Arwyn-Oakheart,48
Arya-Stark,49
Arys-Oakheart,50
Asha-Greyjoy,51
Ashara-Dayne,52
Aurane-Waters,53
Axell-Florent,54
Azor-Ahai,55
Baelor-Blacktyde,56
Baelor-I-Targaryen,57
Bael-the-Bard,58
Ballabar,59
Balman-Byrch,60
Balon-Greyjoy,61
Balon-Swann,62
Bannen,63
Barbrey-Dustin,64
Barristan-Selmy,65
Barsena,66
Bartimus,67
Bedwyck,68
Belaquo,69
Bellegere-Otherys,70
Belwas,71
Ben-Bones,72
Benedar-Belmore,73
Benerro,74
Benethon-Scales,75
Benfred-Tallhart,76
Benjen-Stark,77
Ben-Plumm,78
Beric-Dondarrion,79
Beth-Cassel,80
Big-Boil,81
Biter,82
Black-Balaq,83
Blane,84
Bloodbeard,85
Blue-Bard,86
Bonifer-Hasty,87
Boros-Blount,88
Bowen-Marsh,89
Brandon-Norrey,90
Brandon-Stark,91
Bran-Stark,92
Brea,93
Brella,94
Brenett,95
Brienne-of-Tarth,96
Bronn,97
Brus-Buckler,98
Brusco,99
Bryce-Caron,100
Brynden-Rivers,101
Brynden-Tully,102
Bump,103
Butterbumps,104
Byam-Flint,105
Caggo,106
Caleotte,107
Camarron,108
Captain-Myraham,109
Captain-Myraham-Daughter,110
Catelyn-Stark,111
Cayn,112
Cedra,113
Cedric-Payne,114
Cellador,115
Cersei-Lannister,116
Chataya,117
Chayle,118
Chella,119
Chett,120
Chiggen,121
Chiswyck,122
Clarence-Crabb,123
Clayton-Suggs,124
Clement-Piper,125
Cleon,126
Cleos-Frey,127
Cletus-Yronwood,128
Cley-Cerwyn,129
Clubfoot-Karl,130
Clydas,131
Cohollo,132
Coldhands,133
Colemon,134
Colen-of-Greenpools,135
Conn,136
Coratt,137
Corliss-Penny,138
Cortnay-Penrose,139
Cotter-Pyke,140
Craster,141
Creighton-Longbough,142
Cressen,143
Cromm,144
Cutjack,145
Daario-Naharis,146
Dacey-Mormont,147
Daemon-Sand,148
Daenerys-Targaryen,149
Daeron-II-Targaryen,150
Daeron-I-Targaryen,151
Dagmer,152
Dalbridge,153
Dalla,154
Damon-Dance-for-Me,155
Dancy,156
Danwell-Frey,157
Dareon,158
Daryn-Hornwood,159
Daven-Lannister,160
Davos-Seaworth,161
Denyo-Terys,162
Denys-Darklyn,163
Denys-Mallister,164
Denzo-Dhan,165
Desmond,166
Desmond-Grell,167
